最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,建築年,面積（㎡）,地区名,建物の構造
602,4.0,340000000,2007.0,100.0,1371,10
602,1.0,890000000,2008.0,420.0,1371,10
602,2.0,880000000,1973.0,450.0,1371,18
602,2.0,400000000,2018.0,110.0,1371,5
602,1.0,180000000,1976.0,50.0,1371,10
602,3.0,250000000,1986.0,80.0,1371,10
59,5.0,130000000,1960.0,60.0,1371,10
59,4.0,580000000,1963.0,160.0,1371,10
59,3.0,100000000,1966.0,40.0,1371,10
59,5.0,420000000,1990.0,95.0,1371,5
133,3.0,300000000,1959.0,70.0,15,1
133,2.0,430000000,1982.0,200.0,15,10
133,2.0,1100000000,1989.0,410.0,15,18
133,1.0,3800000000,2001.0,330.0,15,18
133,4.0,1600000000,1985.0,640.0,15,10
133,3.0,630000000,1987.0,125.0,15,10
133,2.0,4000000000,1976.0,770.0,15,18
218,1.0,590000000,1989.0,115.0,572,18
218,1.0,390000000,1989.0,75.0,572,18
218,4.0,1500000000,1974.0,270.0,572,18
218,3.0,320000000,1992.0,105.0,572,10
218,2.0,1200000000,1985.0,200.0,572,18
218,4.0,210000000,1946.0,135.0,572,1
218,2.0,500000000,2009.0,110.0,572,5
218,3.0,190000000,1951.0,70.0,572,1
218,1.0,1500000000,1993.0,320.0,572,5
218,2.0,870000000,1986.0,100.0,572,18
218,2.0,170000000,1963.0,75.0,572,10
218,3.0,500000000,1973.0,120.0,572,18
218,3.0,130000000,1973.0,95.0,572,5
218,3.0,68000000,1970.0,35.0,572,10
218,2.0,1200000000,1985.0,200.0,572,18
218,4.0,93000000,1961.0,65.0,572,1
457,6.0,3900000000,2021.0,290.0,572,5
201,5.0,520000000,2021.0,120.0,572,10
201,4.0,580000000,1987.0,135.0,572,18
201,4.0,200000000,1970.0,75.0,572,10
201,3.0,100000000,2021.0,45.0,572,1
201,4.0,170000000,1951.0,105.0,572,1
201,2.0,410000000,1985.0,120.0,572,10
201,6.0,370000000,1969.0,160.0,572,10
201,3.0,480000000,1984.0,125.0,572,10
605,4.0,1500000000,2021.0,220.0,572,10
605,4.0,410000000,1991.0,125.0,572,18
183,3.0,750000000,1974.0,110.0,235,5
183,4.0,600000000,1992.0,165.0,235,10
183,4.0,180000000,1973.0,50.0,235,10
183,4.0,300000000,1975.0,75.0,235,10
183,3.0,150000000,1960.0,85.0,235,10
183,3.0,170000000,1970.0,95.0,235,10
183,5.0,140000000,1975.0,75.0,235,10
183,4.0,230000000,1977.0,90.0,235,10
183,4.0,1000000000,1993.0,220.0,235,10
207,3.0,6000000000,2017.0,460.0,235,5
207,5.0,70000000,2000.0,80.0,235,5
457,1.0,1100000000,1972.0,195.0,235,10
457,3.0,370000000,2007.0,105.0,235,5
457,2.0,1300000000,1959.0,280.0,235,10
457,2.0,250000000,1987.0,210.0,235,5
457,1.0,370000000,1983.0,110.0,235,10
457,1.0,990000000,1981.0,145.0,235,18
457,3.0,110000000,1968.0,45.0,235,5
457,3.0,330000000,1970.0,195.0,235,10
457,1.0,5700000000,2023.0,430.0,1335,5
457,2.0,50000000,1991.0,55.0,1335,5
457,1.0,1200000000,1984.0,85.0,1335,18
457,2.0,190000000,1990.0,35.0,1335,5
457,4.0,1800000000,2019.0,160.0,1335,5
457,4.0,1500000000,2019.0,160.0,1335,5
457,2.0,120000000,1980.0,115.0,1335,10
457,2.0,390000000,1984.0,75.0,1335,18
457,1.0,220000000,1986.0,45.0,1335,10
401,0.0,520000000,1986.0,60.0,1079,5
401,2.0,780000000,2022.0,100.0,1079,10
207,2.0,75000000,1975.0,35.0,1079,5
207,1.0,88000000,1969.0,50.0,1079,10
207,1.0,350000000,1987.0,90.0,1079,5
207,2.0,230000000,1986.0,90.0,1079,18
462,2.0,1000000000,1994.0,200.0,1074,5
462,2.0,220000000,1984.0,110.0,1074,5
462,5.0,380000000,1986.0,150.0,1074,5
462,3.0,310000000,2019.0,100.0,1074,10
462,3.0,610000000,1991.0,290.0,1074,10
395,6.0,90000000,1968.0,50.0,1074,10
207,2.0,430000000,1984.0,60.0,1077,5
207,3.0,160000000,1965.0,50.0,1077,5
207,4.0,580000000,1973.0,105.0,1077,5
207,1.0,300000000,1961.0,125.0,1077,10
454,4.0,300000000,1970.0,150.0,1077,10
454,4.0,75000000,1970.0,40.0,1077,10
454,3.0,62000000,1994.0,35.0,1077,5
457,1.0,570000000,1997.0,65.0,1087,10
457,4.0,1000000000,1990.0,260.0,1072,18
457,3.0,130000000,1965.0,75.0,1082,10
457,4.0,60000000,1977.0,40.0,1082,5
462,7.0,340000000,1983.0,210.0,1070,10
462,7.0,320000000,1983.0,210.0,1070,10
462,4.0,100000000,1959.0,240.0,1071,1
462,5.0,1200000000,2022.0,145.0,1071,10
462,5.0,1500000000,2022.0,195.0,1071,10
462,4.0,260000000,1969.0,85.0,1071,10
462,4.0,85000000,1962.0,115.0,1071,1
462,4.0,140000000,1984.0,50.0,1071,10
462,5.0,680000000,1972.0,190.0,1071,10
462,3.0,150000000,1989.0,55.0,1071,5
462,3.0,130000000,1963.0,70.0,1071,21
462,4.0,480000000,1973.0,250.0,1071,10
454,6.0,920000000,1988.0,125.0,1080,18
454,6.0,790000000,1989.0,165.0,1080,10
371,7.0,520000000,2018.0,175.0,1080,18
454,2.0,200000000,2001.0,55.0,1081,5
454,1.0,480000000,1986.0,115.0,1081,10
454,1.0,1100000000,1995.0,250.0,1081,18
454,3.0,200000000,1974.0,60.0,1081,10
454,1.0,360000000,1986.0,115.0,1081,10
454,3.0,800000000,1989.0,125.0,1081,10
454,3.0,130000000,1949.0,60.0,1081,1
454,2.0,350000000,1969.0,180.0,1081,10
454,3.0,710000000,1980.0,380.0,1081,10
454,1.0,290000000,2018.0,75.0,1081,5
454,1.0,290000000,2020.0,50.0,1081,5
454,5.0,71000000,1961.0,35.0,1081,1
454,1.0,2900000000,2016.0,170.0,1081,5
454,4.0,75000000,1969.0,50.0,1081,5
454,1.0,520000000,1974.0,155.0,1081,10
454,3.0,650000000,1989.0,125.0,1081,10
454,3.0,670000000,1975.0,220.0,1081,10
462,3.0,98000000,1975.0,50.0,1088,10
218,3.0,1500000000,1988.0,145.0,1088,5
218,3.0,760000000,1990.0,145.0,1088,10
207,1.0,180000000,1975.0,70.0,1088,10
207,2.0,340000000,1982.0,135.0,1088,18
207,1.0,110000000,1974.0,65.0,1088,5
457,2.0,1300000000,1990.0,165.0,1088,5
457,3.0,230000000,1988.0,70.0,1088,18
457,2.0,230000000,1985.0,70.0,1088,5
457,1.0,240000000,1972.0,70.0,1088,5
457,1.0,64000000,1964.0,30.0,1088,1
457,1.0,130000000,1986.0,35.0,1088,18
457,3.0,600000000,1977.0,190.0,1088,10
457,2.0,750000000,1990.0,170.0,1088,18
457,2.0,880000000,1983.0,190.0,1088,18
237,1.0,1500000000,1971.0,110.0,1089,18
237,2.0,200000000,1960.0,45.0,1089,10
237,2.0,130000000,1978.0,55.0,1089,10
237,1.0,480000000,1971.0,50.0,1089,10
268,0.0,930000000,2002.0,115.0,1089,5
268,2.0,70000000,1981.0,35.0,1089,10
268,2.0,340000000,1998.0,110.0,1089,10
207,2.0,620000000,2022.0,85.0,1075,10
457,2.0,1900000000,1962.0,240.0,1075,18
401,2.0,5600000000,1996.0,590.0,1073,18
401,3.0,5100000000,2018.0,330.0,1073,5
401,3.0,150000000,1988.0,50.0,1073,1
207,3.0,700000000,1974.0,250.0,1073,10
207,1.0,1500000000,2020.0,160.0,1073,10
207,3.0,390000000,1986.0,105.0,1073,10
457,3.0,2000000000,1978.0,590.0,1076,18
462,3.0,1700000000,1967.0,230.0,1083,10
218,3.0,250000000,1990.0,120.0,1078,10
457,3.0,460000000,2014.0,145.0,1078,10
457,5.0,90000000,1995.0,50.0,1084,5
371,5.0,900000000,2021.0,100.0,1069,5
371,4.0,290000000,1988.0,85.0,1069,10
371,2.0,230000000,2006.0,60.0,1069,5
371,2.0,190000000,1956.0,70.0,1069,1
371,3.0,97000000,1959.0,35.0,1069,10
371,2.0,280000000,2014.0,85.0,1069,10
371,2.0,350000000,1986.0,165.0,1069,10
371,1.0,1600000000,1987.0,270.0,1069,18
371,2.0,100000000,1988.0,65.0,1069,5
371,2.0,2500000000,2021.0,420.0,1069,5
371,1.0,1400000000,1969.0,290.0,1069,10
371,4.0,190000000,1984.0,60.0,1069,5
371,2.0,330000000,1971.0,145.0,1069,10
371,4.0,140000000,1984.0,60.0,1069,5
371,2.0,900000000,1989.0,155.0,1069,18
371,3.0,200000000,1976.0,65.0,1069,10
207,2.0,45000000,1974.0,45.0,1085,5
207,1.0,340000000,1960.0,100.0,1085,10
629,6.0,3800000000,1996.0,780.0,1117,10
373,4.0,560000000,1991.0,240.0,1117,10
221,3.0,1300000000,1990.0,230.0,149,10
59,2.0,1200000000,2019.0,280.0,149,10
59,6.0,490000000,1988.0,150.0,149,10
59,5.0,2600000000,1991.0,630.0,149,10
59,6.0,400000000,1988.0,150.0,149,10
59,5.0,1700000000,1991.0,670.0,149,10
59,3.0,91000000,1969.0,60.0,149,21
